Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,Geekbench_Single,Geekbench_Multi
Intel® Pentium® Processor 3000 Series,Mobile,3550M,Launched,15979.0,22.0,134.0,2.0,2.0,2.3,,2 MB SmartCache,5 GT/s DMI2,37.0,No,Yes,32 GB,DDR3L 1333/1600,2,25.6 GB/s,No,,400 MHz,1.10 GHz,,eDP/DP/HDMI/VGA ,,,,,,,2,1x16 or 2x8 or 1x8 2x4,16,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,,Yes,Yes,Yes,432.4,762.6
Intel® Pentium® Processor 2000 Series,Mobile,2117U,Launched,15522.0,22.0,134.0,2.0,2.0,1.8,,2 MB SmartCache,5 GT/s DMI,17.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,303.4,571.6
Intel® Pentium® Processor 2000 Series,Mobile,2030M,Launched,15706.0,22.0,134.0,2.0,2.0,2.5,,2 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,90 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,483.6,892.8
Intel® Pentium® Processor 2000 Series,Mobile,2127U,Launched,15887.0,22.0,134.0,2.0,2.0,1.9,,2 MB SmartCache,5 GT/s DMI,17.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600	,2,25.6 GB/s,No,,350 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,360.6,668.6
Intel® Pentium® Processor 2000 Series,Mobile,2129Y,Launched,15706.0,22.0,,2.0,2.0,1.1,,2 MB SmartCache,5 GT/s DMI,10.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,850 MHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,,,,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,215.0,386.0
Intel® Pentium® Processor 1000 Series,Mobile,A1018,End of Life,15887.0,22.0,,2.0,2.0,2.1,,1 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 & 2x4",1,105C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,366.4,670.2
Intel® Pentium® Processor 1000 Series,Mobile,A1020,Launched,16801.0,22.0,86.0,4.0,4.0,2.41,,2 MB L2,,10.0,No,Yes,8 GB,DDR3L 1333,2,21.3 GB/s,No,,688 MHz,896 MHz,,,,,,,11.2,,2,"X4, X2, X1",4,105°C,No,Yes,Yes,64.0,,Yes,,,Yes,193.0,610.4
Legacy Intel® Pentium® Processor,Desktop,G620,End of Life,15065.0,32.0,64.0,2.0,2.0,2.6,,3 MB SmartCache,5 GT/s DMI,65.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,463.0,813.6
Legacy Intel® Pentium® Processor,Desktop,G620T,End of Life,15065.0,32.0,70.0,2.0,2.0,2.2,,3 MB SmartCache,5 GT/s DMI,35.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,650 MHz,1.10 GHz,,,,,,,,,2,,,65.0°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,418.0,782.0
Legacy Intel® Pentium® Processor,Desktop,G840,End of Life,15065.0,32.0,75.0,2.0,2.0,2.8,,3 MB SmartCache,5 GT/s DMI,65.0,No,,32 GB,DDR3 1066/1333,2,21 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,523.4,908.0
Legacy Intel® Pentium® Processor,Desktop,G850,Launched,15065.0,32.0,67.0,2.0,2.0,2.9,,3 MB SmartCache,5 GT/s DMI,65.0,Yes,Yes,32 GB,DDR3 1066/1333,2,21 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,697.4,2295.8
Legacy Intel® Pentium® Processor,Desktop,G630,End of Life,15156.0,32.0,64.0,2.0,2.0,2.7,,3 MB SmartCache,5 GT/s DMI,65.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,518.6,984.2
Legacy Intel® Pentium® Processor,Desktop,G860,End of Life,15156.0,32.0,75.0,2.0,2.0,3.0,,3 MB SmartCache,5 GT/s DMI,65.0,No,,32 GB,DDR3 1066/1333,2,21 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,637.6,1403.8
Legacy Intel® Pentium® Processor,Desktop,G630T,End of Life,15156.0,32.0,72.0,2.0,2.0,2.3,,3 MB SmartCache,5 GT/s DMI,35.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,650 MHz,1.10 GHz,,,,,,,,,2,,,65.0°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,405.6,787.6
Legacy Intel® Pentium® Processor,Desktop,E6800,End of Interactive Support,14791.0,45.0,93.0,2.0,,3.33,,2 MB SmartCache,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64.0,"SSE2, SSE3, SSSE3",Yes,Yes,,Yes,396.2,703.0
Legacy Intel® Pentium® Processor,Desktop,519K,End of Interactive Support,12692.0,90.0,,1.0,,3.06,,1 MB L2,533 MHz FSB,84.0,Yes,,,,,,,,,,,,,,,,,,,,,67.7°C,,No,Yes,64.0,,Yes,Yes,,Yes,196.0,228.0
Legacy Intel® Pentium® Processor,Mobile,B940,Launched,15065.0,32.0,,2.0,2.0,2.0,,2 MB L3,,35.0,No,Yes,16 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,85 C,No,No,Yes,64.0,SSE4.x,Yes,Yes,,Yes,324.2,640.6
Legacy Intel® Pentium® Processor,Mobile,B950,End of Life,15065.0,32.0,,2.0,2.0,2.1,,2 MB L3,5 GT/s DMI,35.0,No,,16 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,85C,No,No,Yes,64.0,SSE4.x,Yes,Yes,,Yes,398.6,725.4
Legacy Intel® Pentium® Processor,Desktop,G870,End of Life,15431.0,32.0,82.0,2.0,2.0,3.1,,3 MB SmartCache,5 GT/s DMI,65.0,No,,32 GB,DDR3 1066/1333,2,21 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,16,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,474.4,814.6
Legacy Intel® Pentium® Processor,Desktop,G640,End of Life,15431.0,32.0,64.0,2.0,2.0,2.8,,3 MB SmartCache,5 GT/s DMI,65.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,454.2,835.4
Legacy Intel® Pentium® Processor,Desktop,E6700,End of Interactive Support,14700.0,45.0,,2.0,,3.2,,2 MB SmartCache,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,374.4,644.2
Legacy Intel® Pentium® Processor,Desktop,E5800,End of Interactive Support,14883.0,45.0,72.0,2.0,,3.2,,2 MB,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,398.2,704.4
Legacy Intel® Pentium® Processor,Desktop,G640T,End of Life,15431.0,32.0,64.0,2.0,2.0,2.4,,3 MB SmartCache,5 GT/s DMI,35.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,650 MHz,1.10 GHz,,,,,,,,,2,,16,65.0°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,296.2,593.6
Legacy Intel® Pentium® Processor,Desktop,E5700,End of Interactive Support,14791.0,45.0,64.0,2.0,,3.0,,2 MB SmartCache,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,402.2,713.6
Legacy Intel® Pentium® Processor,Mobile,T4400,End of Interactive Support,14518.0,45.0,,2.0,,2.2,,1 MB L2,800 MHz FSB,35.0,No,,,,,,,,,,,,,,,,,,,,,105°C,No,No,Yes,64.0,,Yes,,,Yes,171.2,401.2
Legacy Intel® Pentium® Processor,Mobile,T2370,End of Interactive Support,13879.0,65.0,,2.0,,1.73,,1 MB L2,533 MHz FSB,35.0,No,,,,,,,,,,,,,,,,,,,,,100°C,No,No,Yes,64.0,,,,,Yes,212.2,381.6
Legacy Intel® Pentium® Processor,Desktop,E2220,End of Interactive Support,13879.0,65.0,,2.0,,2.4,,1 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64.0,,Yes,Yes,,Yes,285.6,524.6
