Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,Geekbench_Single,Geekbench_Multi
Legacy Intel® Pentium® Processor,Mobile,B960,Launched,15248.0,32.0,,2.0,2.0,2.2,,2 MB L3,5 GT/s DMI,35.0,No,Yes,16 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,85C,No,No,Yes,64.0,SSE4.x,Yes,Yes,,Yes,331.0,613.2
Legacy Intel® Pentium® Processor,Mobile,T4500,End of Interactive Support,14610.0,45.0,,2.0,,2.3,,1 MB,800 MHz FSB,35.0,No,,,,,,,,,,,,,,,,,,,,,,,No,Yes,64.0,,,Yes,,Yes,245.6,420.4
Legacy Intel® Pentium® Processor,Desktop,E6600,End of Interactive Support,14610.0,45.0,75.0,2.0,,3.06,,2 MB SmartCache,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,376.2,660.2
Legacy Intel® Pentium® Processor,Desktop,E5500,End of Interactive Support,14700.0,45.0,72.0,2.0,,2.8,,2 MB SmartCache,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,339.8,574.6
Legacy Intel® Pentium® Processor,Mobile,T2330,End of Interactive Support,13787.0,65.0,,2.0,,1.6,,1 MB L2,533 MHz FSB,35.0,No,,,,,,,,,,,,,,,,,,,,,100°C,No,No,Yes,64.0,,,,,Yes,215.0,383.2
Legacy Intel® Pentium® Processor,Desktop,G645,End of Life,15522.0,32.0,64.0,2.0,2.0,2.9,,3 MB SmartCache,5 GT/s DMI,65.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,553.8,1021.8
Legacy Intel® Pentium® Processor,Mobile,B970,Launched,15340.0,32.0,,2.0,2.0,2.3,,2 MB L3,5 GT/s DMI,35.0,No,Yes,16 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,1.15 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,85C,No,No,Yes,64.0,SSE4.x,Yes,Yes,,Yes,398.0,744.4
Legacy Intel® Pentium® Processor,Mobile,P6300,End of Interactive Support,14975.0,32.0,,2.0,2.0,2.27,,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,667 MHz,,,,,,,,,2,1x16,1,90°C,No,No,Yes,64.0,,Yes,Yes,,Yes,378.0,703.0
Legacy Intel® Pentium® Processor,Desktop,G6960,End of Interactive Support,14975.0,32.0,,2.0,2.0,2.93,,3 MB SmartCache,2.5 GT/s DMI,73.0,No,,16.38 GB,DDR3 1066,2,17 GB/s,,,533 MHz,,,,,,,,,,2,"1x16, 2x8",16,72.6°C,No,Yes,Yes,64.0,,Yes,No,,Yes,427.0,747.0
Legacy Intel® Pentium® Processor,Desktop,E2200,End of Interactive Support,13787.0,65.0,,2.0,,2.2,,1 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64.0,,Yes,Yes,,Yes,299.6,517.2
Legacy Intel® Pentium® Processor,Mobile,T2310,End of Interactive Support,13787.0,65.0,,2.0,,1.46,,1 MB L2,533 MHz FSB,35.0,No,,,,,,,,,,,,,,,,,,,,,100°C,No,No,Yes,64.0,,,,,Yes,199.4,366.2
Legacy Intel® Pentium® Processor,Mobile,B980,Launched,15431.0,32.0,,2.0,2.0,2.4,,2 MB,5 GT/s DMI,35.0,No,Yes,16 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,1.15 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,85C,No,No,Yes,64.0,SSE4.x,Yes,Yes,,Yes,333.2,437.4
Legacy Intel® Pentium® Processor,Desktop,G645T,End of Life,15522.0,32.0,64.0,2.0,2.0,2.5,,3 MB SmartCache,5 GT/s DMI,35.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,650 MHz,1.10 GHz,,,,,,,,,2,,16,65.0°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,448.0,793.6
Legacy Intel® Pentium® Processor,Mobile,P6200,End of Interactive Support,14791.0,32.0,,2.0,2.0,2.13,,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,667 MHz,,,,,,,,,2,1x16,1,90°C,No,No,Yes,64.0,,Yes,Yes,,Yes,350.6,615.4
Legacy Intel® Pentium® Processor,Desktop,G6950,End of Interactive Support,14610.0,32.0,77.0,2.0,2.0,2.8,,3 MB SmartCache,2.5 GT/s DMI,73.0,Yes,Yes,16.38 GB,DDR3 1066,2,17 GB/s,,,533 MHz,,,,,,,,,,2,"1x16, 2x8",16,72.6°C,No,Yes,Yes,64.0,,Yes,No,,Yes,382.2,717.4
Legacy Intel® Pentium® Processor,Desktop,E6500,End of Interactive Support,13879.0,45.0,68.0,2.0,,2.93,,2 MB L2,1066 MHz FSB,65.0,Yes,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,359.2,641.0
Legacy Intel® Pentium® Processor,Desktop,E5400,End of Interactive Support,14245.0,45.0,67.0,2.0,,2.7,,2 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,See Ordering Info,Yes,64.0,,Yes,Yes,,Yes,366.8,641.8
Legacy Intel® Pentium® Processor,Desktop,E2180,End of Interactive Support,13695.0,65.0,,2.0,,2.0,,1 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64.0,,Yes,Yes,,Yes,248.8,453.2
Legacy Intel® Pentium® Processor,Mobile,P6100,End of Interactive Support,14791.0,32.0,,2.0,2.0,2.0,,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,667 MHz,,,,,,,,,2,1x16,1,90°C,No,No,Yes,64.0,,Yes,Yes,,Yes,303.2,584.4
Legacy Intel® Pentium® Processor,Mobile,T3400,End of Interactive Support,14153.0,65.0,,2.0,,2.16,,1 MB L2,667 MHz FSB,35.0,No,,,,,,,,,,,,,,,,,,,,,100°C,No,No,Yes,64.0,,Yes,,,Yes,332.8,580.0
Legacy Intel® Pentium® Processor,Desktop,E5300,End of Interactive Support,13879.0,45.0,62.0,2.0,,2.6,,2 MB L2,800 MHz FSB,65.0,Yes,,,,,,,,,,,,,,,,,,,,,74.1°C,No,See Ordering Info,Yes,64.0,,Yes,Yes,,Yes,334.8,609.6
Legacy Intel® Pentium® Processor,Desktop,E2160,End of Interactive Support,13330.0,65.0,,2.0,,1.8,,1 MB L2,800 MHz FSB,65.0,Yes,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64.0,,Yes,Yes,,Yes,241.8,437.4
Legacy Intel® Pentium® Processor,Mobile,U5400,End of Interactive Support,14700.0,32.0,,2.0,2.0,1.2,,3 MB SmartCache,2.5 GT/s DMI,18.0,No,,8 GB,DDR3 800,2,12.8 GB/s,No,,166 MHz,500 MHz,,,,,,,,,2,1x16,1,105°C ,No,No,Yes,64.0,,Yes,Yes,,Yes,207.0,388.0
Legacy Intel® Pentium® Processor,Mobile,P6000,End of Interactive Support,14700.0,32.0,,2.0,2.0,1.86,,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,667 MHz,,,,,,,,,2,1x16,1,90°C,No,No,Yes,64.0,,Yes,Yes,,Yes,301.6,917.2
Legacy Intel® Pentium® Processor,Desktop,E6300,End of Interactive Support,14335.0,45.0,77.0,2.0,,2.8,,2 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,306.8,511.6
Legacy Intel® Pentium® Processor,Mobile,T4200,End of Interactive Support,14245.0,45.0,,2.0,,2.0,,1 MB L2,800 MHz FSB,35.0,No,,,,,,,,,,,,,,,,,,,,,105°C,No,No,Yes,64.0,,,,,Yes,253.8,466.8
Legacy Intel® Pentium® Processor,Desktop,E5200,End of Interactive Support,14061.0,45.0,72.0,2.0,,2.5,,2 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,No,Yes,64.0,,Yes,Yes,,Yes,317.8,492.6
Legacy Intel® Pentium® Processor,Desktop,E2140,End of Interactive Support,13604.0,65.0,,2.0,,1.6,,1 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,L2=61.4°C; G0+M0=73.3°C,No,No,Yes,64.0,,Yes,Yes,,Yes,228.2,322.6
Intel® Celeron® Processor G Series,Desktop,G1610T,Launched,15706.0,22.0,42.0,2.0,2.0,2.3,,2 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3 1333,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,417.8,741.6
Intel® Celeron® Processor G Series,Desktop,G1620,Launched,15706.0,22.0,40.0,2.0,2.0,2.7,,2 MB SmartCache,5 GT/s DMI,55.0,Yes,Yes,32 GB,DDR3 1333,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,361.6,609.8
Intel® Celeron® Processor G Series,Desktop,G1620T,Launched,15887.0,22.0,42.0,2.0,2.0,2.4,,2 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3 1333,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,495.0,952.0
Intel® Celeron® Processor G Series,Desktop,G1820,Launched,16071.0,22.0,42.0,2.0,2.0,2.7,,2 MB SmartCache,5 GT/s DMI2,53.0,Yes,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,350 MHz,1.05 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,566.4,1070.2
Intel® Celeron® Processor G Series,Desktop,G1630,End of Life,15887.0,22.0,52.0,2.0,2.0,2.8,,2 MB SmartCache,5 GT/s DMI,55.0,No,Yes,32 GB,DDR3 1333,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,458.6,724.0
Intel® Celeron® Processor G Series,Desktop,G1820T,End of Life,16071.0,22.0,42.0,2.0,2.0,2.4,,2 MB SmartCache,5 GT/s DMI2,35.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,200 MHz,1.05 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,565.4,1084.6
Intel® Celeron® Processor G Series,Desktop,G1830,End of Life,16071.0,22.0,52.0,2.0,2.0,2.8,,2 MB SmartCache,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,350 MHz,1.05 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,540.2,991.8
Intel® Celeron® Processor G Series,Desktop,G1840,End of Life,16161.0,22.0,42.0,2.0,2.0,2.8,,2 MB,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,350 MHz,1.05 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,207.0,287.4
Intel® Celeron® Processor G Series,Desktop,G1840T,End of Life,16161.0,22.0,42.0,2.0,2.0,2.5,,2 MB,5 GT/s DMI2,35.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,200 MHz,1.05 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C ,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,523.8,936.8
Intel® Celeron® Processor G Series,Desktop,G1850,End of Life,16161.0,22.0,52.0,2.0,2.0,2.9,,2 MB,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,350 MHz,1.05 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,572.0,1052.6
Intel® Celeron® Processor G Series,Desktop,G3900,Launched,16709.0,14.0,42.0,2.0,2.0,2.8,,2 MB SmartCache,8 GT/s DMI3,51.0,Yes,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,350 MHz,950 MHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,710.4,1329.4
Intel® Celeron® Processor G Series,Desktop,G3900T,Launched,16709.0,14.0,,2.0,2.0,2.6,,2 MB SmartCache,8 GT/s DMI3,35.0,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,350 MHz,950 MHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,637.8,1188.0
Intel® Celeron® Processor G Series,Desktop,G3920,Launched,16709.0,14.0,52.0,2.0,2.0,2.9,,2 MB SmartCache,8 GT/s DMI3,51.0,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,350 MHz,950 MHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,764.0,1450.0
Intel® Celeron® Processor G Series,Desktop,G3930,Launched,17167.0,14.0,42.0,2.0,2.0,2.9,,2 MB,8 GT/s DMI3,51.0,No,Yes,64 GB,"DDR4 2133, DDR3L 1333/1600 @ 1.35V",2,,Yes,,350 MHz,1.05 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,722.0,1361.0
Intel® Celeron® Processor G Series,Desktop,G3930T,Launched,17167.0,14.0,42.0,2.0,2.0,2.7,,2 MB,8 GT/s DMI3,35.0,No,Yes,64 GB,"DDR4 2133, DDR3L 1333/1600 @ 1.35V",2,,Yes,,350 MHz,1.00 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,92°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,536.0,1169.0
Intel® Celeron® Processor G Series,Desktop,G3950,Launched,17167.0,14.0,52.0,2.0,2.0,3.0,,2 MB,8 GT/s DMI3,51.0,No,Yes,64 GB,"DDR4 2133, DDR3L 1333/1600 @ 1.35V",2,,Yes,,350 MHz,1.05 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,712.2,1229.8
Intel® Celeron® Processor J Series,Desktop,J1800,Launched,15979.0,22.0,72.0,2.0,2.0,2.41,,1 MB L2,,10.0,No,Yes,8 GB,DDR3L 1333,2,,No,,688 MHz,792 MHz,,,,,,,,,2,"X4, X2, X1",4,  105°C ,No,Yes,Yes,64.0,,,,,Yes,234.8,431.4
Intel® Celeron® Processor J Series,Desktop,J1900,Launched,15979.0,22.0,82.0,4.0,4.0,2.0,,2 MB L2,,10.0,Yes,Yes,8 GB,DDR3L 1333,2,,No,,688 MHz,854 MHz,,,,,,,,,2,"X4, X2, X1",4,  105°C ,No,Yes,Yes,64.0,,,,,Yes,221.6,732.8
Intel® Celeron® Processor J Series,Desktop,J1850,Launched,15887.0,22.0,,4.0,4.0,2.0,,2 MB L2,,10.0,No,Yes,8 GB,DDR3L 1333,2,,No,,688 MHz,792 MHz,,,,,,,,,2,"X4, X2, X1",4,100°C ,No,Yes,Yes,64.0,,,,,Yes,202.6,570.6
Intel® Celeron® Processor J Series,Desktop,J3060,Launched,16801.0,14.0,107.0,2.0,2.0,1.6,,2 MB L2,,6.0,No,Yes,8 GB,DDR3L-1600,2,,No,,320 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64.0,,,Yes,Yes,Yes,193.4,319.0
Intel® Celeron® Processor J Series,Desktop,J3160,Launched,16801.0,14.0,,4.0,4.0,1.6,,2 MB L2,,6.0,No,Yes,8 GB,DDR3L-1600,2,,No,,320 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64.0,,,Yes,Yes,Yes,222.2,767.0
Intel® Celeron® Processor J Series,Desktop,J3355,Launched,16983.0,14.0,107.0,2.0,2.0,2.0,,2 MB,,10.0,No,Yes,8 GB,DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s,2,,No,,250 MHz,,8 GB,eDP/DP/HDMI/MIPI-DSI,,,,,Yes,,2,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,105°C ,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,295.8,535.2
Intel® Celeron® Processor J Series,Desktop,J3455,Launched,16983.0,14.0,107.0,4.0,4.0,1.5,,2 MB,,10.0,No,Yes,8 GB,DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s,2,,No,,250 MHz,,8 GB,eDP/DP/HDMI/MIPI-DSI,,,,,Yes,,2,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,105°C ,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,270.6,886.8
Intel® Celeron® Processor N Series,Mobile,N2806,Launched,15979.0,22.0,107.0,2.0,2.0,1.6,,1 MB,,4.5,No,Yes,4 GB,DDR3L 1066,1,,,,313 MHz,756 MHz,,,,,,,,,2,,4,105°C,No,Yes,Yes,64.0,,Yes,,,Yes,194.0,354.2
Intel® Celeron® Processor N Series,Mobile,N2807,Launched,16071.0,22.0,107.0,2.0,2.0,1.58,,1 MB,,4.3,Yes,Yes,4 GB,DDR3L 1333,1,,,,313 MHz,750 MHz,,,,,,,,,2,1x4,4,105°C ,No,Yes,Yes,64.0,,Yes,,Yes,Yes,194.6,324.2
Intel® Celeron® Processor N Series,Mobile,N2808,Launched,16252.0,22.0,107.0,2.0,2.0,1.58,,1 MB L2,,4.5,No,Yes,4 GB,DDR3L 1333,1,10.66 GB/s,No,,311 MHz,792 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,Yes,Yes,203.4,311.2
Intel® Celeron® Processor N Series,Mobile,N2810,Launched,15887.0,22.0,,2.0,2.0,2.0,,1 MB,,7.5,No,Yes,8 GB,DDR3L 1066,2,,,,313 MHz,756 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,,Yes,164.2,295.6
Intel® Celeron® Processor N Series,Mobile,N2815,Launched,15979.0,22.0,,2.0,2.0,1.86,,1 MB,,7.5,No,Yes,8 GB,DDR3L 1066,2,,,,313 MHz,756 MHz,,,,,,,,,2,,4,105°C,No,Yes,Yes,64.0,,Yes,,,Yes,182.2,334.2
Intel® Celeron® Processor N Series,Mobile,N2820,Launched,15979.0,22.0,,2.0,2.0,2.13,,1 MB,,7.5,No,Yes,8 GB,DDR3L 1066,2,,,,313 MHz,756 MHz,,,,,,,,,2,,4,105°C,No,Yes,Yes,64.0,,Yes,,,Yes,200.6,318.8
Intel® Celeron® Processor N Series,Mobile,N2830,Launched,16071.0,22.0,107.0,2.0,2.0,2.16,,1 MB,,7.5,No,Yes,8 GB,DDR3L 1333,2,,,,313 MHz,750 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,Yes,Yes,186.8,332.4
Intel® Celeron® Processor N Series,Mobile,N2840,Launched,16252.0,22.0,107.0,2.0,2.0,2.16,,1 MB L2,,7.5,No,Yes,8 GB,DDR3L 1333,2,21.32 GB/s,No,,311 MHz,792 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,Yes,Yes,80.2,139.4
Intel® Celeron® Processor N Series,Mobile,N2910,Launched,15887.0,22.0,,4.0,4.0,1.6,,2 MB,,7.5,No,Yes,8.79 GB,DDR3L 1066,2,,,,313 MHz,756 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,,Yes,89.0,138.0
Intel® Celeron® Processor N Series,Mobile,N2920,End of Life,15979.0,22.0,,4.0,4.0,1.86,,2 MB,,7.5,Yes,Yes,8 GB,DDR3L 1066,2,,,,313 MHz,844 MHz,,,,,,,,,2,,4,105°C,No,Yes,Yes,64.0,,Yes,,,Yes,185.4,631.8
Intel® Celeron® Processor N Series,Mobile,N2930,Launched,16071.0,22.0,107.0,4.0,4.0,1.83,,2 MB,,7.5,Yes,Yes,8 GB,DDR3L 1333,2,,,,313 MHz,854 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,Yes,Yes,200.2,539.6
Intel® Celeron® Processor N Series,Mobile,N2940,Launched,16252.0,22.0,107.0,4.0,4.0,1.83,,2 MB L2,,7.5,No,Yes,8 GB,DDR3L 1333,2,21.32 GB/s,No,,313 MHz,854 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,Yes,Yes,219.4,701.4
Intel® Celeron® Processor N Series,Mobile,N3450,Launched,16983.0,14.0,107.0,4.0,4.0,1.1,,2 MB L2,,6.0,No,Yes,8 GB,DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s,2,,No,,200 MHz,,8 GB,eDP/DP/HDMI/MIPI-DSI,,,,,Yes,,2,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,105°C,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,286.2,902.0
Intel® Celeron® Processor N Series,Mobile,N3350,Launched,16983.0,14.0,107.0,2.0,2.0,1.1,,2 MB L2,,6.0,Yes,Yes,8 GB,"DDR3L/LPDDR3 up to 1866 MT/s; ,LPDDR4 up to 2400 MT/s",2,,No,,200 MHz,,8 GB,eDP/DP/HDMI/MIPI-DSI,,,,,Yes,,2,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,105°C,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,312.8,628.4
Intel® Celeron® Processor N Series,Mobile,N3160,Launched,16801.0,14.0,107.0,4.0,4.0,1.6,,2 MB L2,,6.0,Yes,Yes,8 GB,DDR3L-1600,2,,No,,320 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,194.8,699.6
Intel® Celeron® Processor N Series,Mobile,N3150,Launched,16436.0,14.0,107.0,4.0,4.0,1.6,,2 MB L2,,6.0,No,Yes,8 GB,DDR3L-1600,2,,No,,320 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,170.2,528.2
Intel® Celeron® Processor N Series,Mobile,N3060,Launched,16801.0,14.0,107.0,2.0,2.0,1.6,,2 MB L2,,6.0,Yes,Yes,8 GB,DDR3L-1600,2,,No,,320 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,220.0,425.2
Intel® Celeron® Processor N Series,Mobile,N3050,Launched,16436.0,14.0,107.0,2.0,2.0,1.6,,2 MB L2,,6.0,No,Yes,8 GB,DDR3L-1600,2,,No,,320 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,205.8,370.4
