Geekbench_Single,Geekbench_Multi
564.0,1268.0
525.6,1237.0
520.2,1281.4
735.0,1571.0
843.4,1782.6
889.2,1971.0
894.0,1914.0
1033.0,2040.6
519.2,1255.6
834.0,1456.0
969.0,2201.2
1089.4,2008.4
1183.0,2751.0
708.2,1529.2
706.2,1645.6
743.2,1661.6
723.0,1509.2
862.0,1634.2
795.6,1820.4
764.2,1731.4
809.4,2893.0
858.8,3464.2
977.8,3612.2
821.4,2832.0
1140.6,4589.4
954.4,3579.8
827.0,3358.8
883.2,3468.0
,
893.6,3513.0
,
716.6,1625.4
684.2,1521.0
769.2,1633.6
752.8,2476.0
788.0,2941.0
699.0,1566.0
824.2,2512.6
748.2,2321.8
795.2,2554.0
855.4,2734.4
779.6,2489.2
898.2,3094.4
862.2,3053.4
824.2,2918.6
1082.0,3776.0
991.0,3109.0
787.0,2514.0
462.2,982.4
664.0,1411.4
940.8,2032.8
338.0,671.0
634.0,1459.6
552.2,1287.8
363.2,710.2
944.2,2184.4
813.4,1734.4
644.2,1445.2
598.0,1298.4
478.8,934.2
612.8,1129.4
635.6,1326.6
774.8,1619.0
